City,Temperature,Weather Condition
New York *,18 °C,Clear. Mild.
Oslo *,14 °C,Broken clouds. Cool.
Ottawa *,17 °C,Partly cloudy. Mild.
Paris *,12 °C,Low clouds. Cool.
Perth,21 °C,Passing clouds. Mild.
Philadelphia *,18 °C,Passing clouds. Mild.
Phoenix,32 °C,Partly cloudy. Hot.
Prague *,16 °C,Light rain. Passing clouds. Cool.
Reykjavik,10 °C,Clear. Cool.
Rio de Janeiro,21 °C,Partly cloudy. Mild.
Riyadh,35 °C,Sunny. Extremely hot.
Rome *,24 °C,Light rain. Broken clouds. Mild.
Salt Lake City *,23 °C,Clear. Mild.
San Francisco *,17 °C,Passing clouds. Mild.
San Juan,27 °C,Passing clouds. Warm.
San Salvador,24 °C,Clear. Mild.
Santiago,9 °C,Clear. Cool.
Santo Domingo,29 °C,Passing clouds. Warm.
São Paulo,18 °C,Passing clouds. Mild.
Seattle *,18 °C,Clear. Mild.
Seoul,30 °C,Scattered clouds. Warm.
Shanghai,28 °C,Passing clouds. Warm.
Singapore,26 °C,Broken clouds. Warm.
Sofia *,17 °C,Sunny. Mild.
St. John's *,10 °C,Passing clouds. Cool.
Stockholm *,18 °C,Passing clouds. Mild.
Suva,25 °C,Overcast. Mild.
Sydney,19 °C,Sunny. Mild.
Taipei,31 °C,Partly sunny. Warm.
Tallinn *,15 °C,Overcast. Cool.
Tashkent,28 °C,Passing clouds. Pleasantly warm.
Tegucigalpa,22 °C,Passing clouds. Mild.
Tehran,29 °C,Sunny. Pleasantly warm.
Tokyo,31 °C,Scattered clouds. Warm.
Toronto *,16 °C,Clear. Cool.
Vancouver *,17 °C,Passing clouds. Mild.
Vienna *,20 °C,Passing clouds. Mild.
Warsaw *,20 °C,Sunny. Mild.
Washington DC *,18 °C,Clear. Mild.
Winnipeg *,18 °C,Mild.
Yangon,29 °C,Mostly cloudy. Warm.
Zagreb *,19 °C,Sunny. Mild.
Zürich *,14 °C,Passing clouds. Cool.
